wav,speaker,block,tag,label,artic,rate,nas,voice,mic
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0021.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10021,DUG,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0022.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10022,YOU WISHED TO KNOW ALL ABOUT MY GRANDFATHER,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0023.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10023,OA,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0024.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10024,KNEE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0025.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10025,FEET,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0026.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10026,TRAIN,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0027.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10027,BUT HE ALWAYS ANSWERS BANANA OIL,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0028.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10028,BUT HE ALWAYS ANSWERS BANANA OIL,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0029.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10029,BEAT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0030.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10030,THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0031.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10031,THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0032.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10032,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0033.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10033,CAR,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0034.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10034,FEET,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0035.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10035,GIVING THOSE WHO OBSERVE HIM A PRONOUNCED FEELING OF THE UTMOST RESPECT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0036.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10036,WE HAVE OFTEN URGED HIM TO WALK MORE AND SMOKE LESS,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0037.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10037,RAKE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0038.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10038,EEE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0039.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10039,SWORE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0040.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10040,RAVE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0041.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10041,RAVE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0042.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10042,FOR,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0043.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10043,SIP,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0044.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10044,GROW,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0045.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10045,BIT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0046.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10046,CHAIR,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0047.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10047,ONE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0048.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10048,FAIR,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0049.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10049,TWO,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0050.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10050,BETA,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0051.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10051,RAGE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0052.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10052,SPARK,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0053.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10053,SWARM,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0054.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10054,BEAT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0057.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10057,RACE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0058.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10058,THE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0059.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10059,THE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0060.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10060,FORM,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0061.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10061,DARK,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0062.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10062,SIP,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0063.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10063,FARM,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0064.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10064,RAID,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0065.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10065,FEE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0066.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10066,WEED,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0069.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10069,BAT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0070.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10070,HORN,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0071.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10071,JAGGED,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0072.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10072,SHEET,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0073.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10073,CHAIR,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0074.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10074,BUBBLE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0075.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10075,WARM,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0076.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10076,SHIP,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0079.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10079,AIR,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0080.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10080,HAIR,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0081.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10081,SHARE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0082.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10082,RATE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0083.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10083,GOAT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0084.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10084,TRACE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0085.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10085,SIP,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0086.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10086,GO,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0087.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10087,ALPHA,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0088.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10088,LEFT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0089.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10089,STICKS,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0090.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10090,TROUBLE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0091.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10091,DAGGER,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0092.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10092,READ,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0093.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10093,A LONG FLOWING BEARD CLINGS TO HIS CHIN,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0094.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10094,SLIP,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0095.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10095,GLOW,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0096.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10096,AH,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0097.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10097,TRADE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0098.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10098,RANGE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0099.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10099,STUBBLE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0100.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10100,FLOOR,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0101.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10101,BUG,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0102.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10102,BUG,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0103.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10103,LEAD,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0104.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10104,YET HE STILL THINKS AS SWIFTLY AS EVER,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0105.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10105,YET HE STILL THINKS AS SWIFTLY AS EVER,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0106.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10106,YET HE STILL THINKS AS SWIFTLY AS EVER,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0107.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10107,READ,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0108.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10108,JACKET,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0109.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10109,BORN,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0110.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10110,WARM,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0111.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10111,CORN,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0112.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10112,RIGHT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0113.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10113,KNEW,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0114.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10114,WELL HE IS NEARLY NINETY THREE YEARS OLD,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0115.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10115,FEED,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0116.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10116,TWICE EACH DAY HE PLAYS SKILLFULLY AND WITH ZEST UPON OUR SMALL ORGAN,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0117.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10117,FEED,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0118.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10118,KNEW,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0119.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10119,RAIN,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0120.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10120,AH,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0121.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10121,PARK,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0122.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10122,TIP,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0123.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10123,DOWN,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0124.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10124,GADGET,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0125.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10125,STORE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0126.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10126,HE DRESSES HIMSELF IN AN ANCIENT BLACK FROCK COAT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0128.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10128,STORM,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0129.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10129,STORM,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0130.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10130,GRANDFATHER LIKES TO BE MODERN IN HIS LANGUAGE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0131.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10131,TORN,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0132.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10132,WHEN HE SPEAKS HIS VOICE IS JUST A BIT CRACKED AND QUIVERS A TRIFLE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0133.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10133,TRAIT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0134.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10134,YES,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_headMic/0006.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10006,STICK,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_headMic/0007.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10007,TEAR,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_headMic/0008.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10008,EXCEPT IN THE WINTER WHEN THE OOZE OR SNOW OR ICE PREVENTS,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_headMic/0009.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10009,PAT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_headMic/0010.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10010,UP,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_headMic/0011.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10011,MEAT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_headMic/0012.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10012,MEAT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_headMic/0013.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10013,KNOW,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_headMic/0014.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10014,HE SLOWLY TAKES A SHORT WALK IN THE OPEN AIR EACH DAY,G2,G1,G2,G2,Session1
